wristFlexionExtension,wristRotation,Index MCP,Index PIP,Index DIP,Middle MCP,Middle PIP,Middle DIP,Ring MCP,Ring PIP,Ring DIP,Pinky MCP,Pinky PIP,Pinky DIP,Thumb roll,Thumb MCP,Thumb PIP
0,0,150.3391372,167.9653139,173.3019131,164.3373482,164.8118204,177.4519225,175.8567989,165.1678426,175.6573943,177.3928815,176.8315591,179.4081644,140.0498185,170.4340178,171.3100124
0,0,156.8368774,163.4401081,173.5701251,167.5283792,163.644956,175.7358156,177.262672,165.7199911,176.7712782,178.4848243,178.2336292,179.2162399,144.2980118,170.4351087,173.3930762
0,0,156.4355819,162.5807786,174.0991439,166.5949175,164.2491192,176.18274,177.1485035,165.7567639,176.3083093,176.8634118,177.6403476,179.2249578,146.2326897,168.9649758,168.7731925
0,0,153.2168108,163.0624993,175.4519141,164.2227803,164.6399884,175.7005394,175.4720774,165.1051262,176.5634751,177.848319,177.4868462,178.47338,145.6208346,167.2718539,166.6861861
0,0,153.379487,159.5976202,175.1894587,164.2647711,161.9150373,174.6589695,175.5233876,163.1717841,177.0814401,178.40629,177.4441851,179.5268745,142.3952465,166.779695,164.6098366
0,0,153.0488224,154.8340613,173.4460907,164.1585221,158.4651101,174.2016655,175.6507721,160.886859,175.474831,177.0161613,175.0793592,178.4179547,141.817122,166.554829,164.0762098
0,0,152.878623,152.7245193,172.4903842,164.1694307,156.761806,173.2711181,175.1754023,160.2863067,174.7027446,176.775249,174.2267878,176.8312384,141.9093932,166.0773202,163.3046603
0,0,155.1062265,152.4735322,171.4700406,166.2210798,156.063124,172.8346427,177.4126259,159.3219485,174.0501264,175.0185476,172.9675125,177.5423526,143.2115899,168.100339,162.2908284
0,0,154.6220025,150.0163886,170.6139256,165.9808045,153.7050795,172.0915556,177.0652799,158.0695581,173.5390676,175.3782259,171.8845433,176.6890431,144.1541478,167.7878873,167.5295894
0,0,155.1398317,148.5774645,170.6599059,166.6101638,152.0199727,173.0558847,177.718538,157.5552105,173.5470354,174.8057021,170.7237461,176.4913844,143.9939304,166.325999,165.0836568
0,0,159.473368,143.6352327,169.1978775,170.7504461,147.6189714,170.592136,179.959977,155.1019008,172.2618026,172.7804983,167.8322702,174.6069684,146.0810922,165.0718267,172.0897486
0,0,157.372976,141.1280813,169.0100917,167.6601644,149.1751971,170.7901491,178.0999206,156.6721131,169.5723961,173.1514065,167.0180462,170.5522925,149.8195532,162.6061,177.6780549
0,0,151.7284662,144.0306997,165.9503137,161.8457618,154.0149181,169.1120524,175.7722225,157.4543918,167.4477561,177.2820306,166.5932758,168.777662,157.8791519,160.7586601,173.4089918
0,0,149.0753662,146.4432782,159.9882895,161.1243084,152.9764509,163.2258486,176.1984251,155.7949441,161.3510579,174.3908592,163.0595813,163.644037,165.0332282,160.0207124,169.5258865
0,0,150.719253,144.0890223,154.551293,161.5000992,150.8012528,157.6101273,172.3265595,158.1568114,154.3816842,177.3937802,165.0588748,161.1818211,161.1998687,158.9345888,177.0231369
0,0,145.827082,140.0434148,151.9467601,156.5902737,146.9660133,154.8230983,168.9123902,155.7508043,150.2921695,177.449643,171.5879316,173.1380355,167.5366914,161.1169446,169.0154832
0,0,144.9154744,139.5163562,147.3679469,155.7015569,142.1221597,141.4196446,169.2519683,150.6851711,138.6555014,175.0227298,168.1660891,166.8585307,169.3571669,160.0066074,169.7436084
0,0,142.583402,136.6305633,141.942942,153.3713174,132.3122747,127.4731056,166.9581819,141.1420482,123.7734285,172.0911393,159.7231581,142.9541558,164.4933479,156.3608548,171.491936
0,0,134.5922875,143.7327929,135.5861993,149.7530668,129.5414027,125.2494208,165.1225348,137.2104504,115.8350048,171.4758009,155.7230056,128.2635305,164.8996469,162.8760957,171.412172
0,0,136.4909471,135.2213614,135.0013314,152.9145567,116.9373825,121.5286989,169.0409294,127.7988729,107.0975293,178.5914072,147.9762283,102.0557818,155.8654867,157.348563,176.5724557
0,0,137.5163335,128.014655,147.0077182,150.0616587,120.5343328,131.5952253,168.2948579,126.6153601,117.1474167,175.2589244,144.3177466,95.67076921,158.9418252,157.2619455,175.6110683
